Column_Name,Column_Type
START,VARCHAR
STOP,VARCHAR
PATIENT,VARCHAR
ENCOUNTER,VARCHAR
CODE,VARCHAR
DESCRIPTION,VARCHAR
BASE_COST,VARCHAR
REASONCODE,VARCHAR
REASONDESCRIPTION,VARCHAR
