Column_Name,Column_Type
ID,VARCHAR
START,VARCHAR
STOP ,VARCHAR
PATIENT,VARCHAR
ORGANIZATION,VARCHAR
PAYER ,VARCHAR
ENCOUNTERCLASS,VARCHAR
CODE,VARCHAR
DESCRIPTION,VARCHAR
BASE_ENCOUNTER_COST,VARCHAR
TOTAL_CLAIM_COST,VARCHAR
PAYER_COVERAGE,VARCHAR
REASONCODE,VARCHAR
REASONDESCRIPTION,VARCHAR
